"Material","Definition_Name","LenY","LenX","LenZ","Quantity","Kant_duzina","Kant_sirina","Traka_materijal","Traka_debljina","Naziv","Cena_dinari"
"","##__Donji_pod","600 mm","560 mm","18 mm","1","25mm","2","null","1 mm","Donji_pod","0"
"","##__Donji_vertikala#1","742 mm","560 mm","18 mm","1","25","0","null","1 mm","donji_vertikala","0"
"","##__Donji_vertikala","742 mm","560 mm","18 mm","1","25","0","null","1 mm","donji_vertikala","0"
"","##__Lesonit#1","900 mm","600 mm","3 mm","1","0","0","null","0 mm","Lesonit","0"
"","##__Lesonit","760 mm","600 mm","3 mm","1","0","0","null","0 mm","Lesonit","0"
"","##__Ploca","2000 mm","600 mm","38 mm","1","25","1","null","1 mm","Ploca","0"
"","##__Sokla_maska","100 mm","600 mm","18 mm","1","51","2","null","1 mm","Sokla_maska","0"
"","##__Vezac","564 mm","50 mm","18 mm","2","25","0","None","1 mm","Vezac","0"
"","##__Viseci_pod#1","564 mm","300 mm","18 mm","1","25","0","null","1 mm","viseci_pod","0"
"","##__Viseci_pod","564 mm","300 mm","18 mm","1","25","0","null","1 mm","viseci_pod","0"
"","##__Viseci_vertikala#1","900 mm","300 mm","18 mm","1","25","2","null","1 mm","viseci_vertikala","0"
"","##__Viseci_vertikala","900 mm","300 mm","18 mm","1","25","2","null","1 mm","viseci_vertikala","0"
"","##__Vrata#1","900 mm","300 mm","18 mm","1","51","2","null","2 mm","Vrata","0"
"","##__Vrata#2","900 mm","300 mm","18 mm","1","51","2","null","2 mm","Vrata","0"
"","##__Vrata","757 mm","600 mm","18 mm","1","51","2","null","2 mm","Vrata","0"
"","cena#1","100 mm","40 mm","40 mm","12","","","","","Nogara",""
"","cena#2","50 mm","20 mm","100 mm","12","","","","","Sarka",""
"","cena","30 mm","15 mm","500 mm","6","","","","","Klizac",""
"Korpus","comp#1","600 mm","560 mm","18 mm","1","1","2","null","1 mm","Donji_pod","0"
"Korpus","comp#2","564 mm","50 mm","18 mm","2","1","0","null","1 mm","Vezac","0"
"Korpus","comp#6","900 mm","300 mm","18 mm","2","1","2","null","1 mm","viseci_vertikala","0"
"Korpus","comp#7","564 mm","300 mm","18 mm","2","1","0","null","1 mm","viseci_pod","0"
"Korpus","comp","742 mm","560 mm","18 mm","2","1","0","null","1 mm","donji_vertikala","0"
"Lesonit","comp#4","760 mm","600 mm","3 mm","1","0","0","null","0 mm","Lesonit","0"
"Lesonit","comp#4","900 mm","600 mm","3 mm","1","0","0","null","0 mm","Lesonit","0"
"Ploca","comp#5","2000 mm","600 mm","38 mm","1","1","1","null","1 mm","Ploca","0"
"Vrata","comp#3","100 mm","600 mm","18 mm","1","2","2","null","1 mm","Sokla_maska","0"
"Vrata","comp#3","757 mm","600 mm","18 mm","1","2","2","null","2 mm","Vrata","0"
"Vrata","comp#3","900 mm","300 mm","18 mm","2","2","2","null","2 mm","Vrata","0"
