"Material","Definition Name","Naziv","LenY","LenX","LenZ","Quantity","Kant_duzina","Kant_sirina","Traka_materijal","Traka_debljina","Cena_dinari","Napomena"
"+#Vrata#2000","comp#70","Vrata","1466 mm","357 mm","18 mm","1","2","2","vrataTraka#120","2 mm","0","null"
"+#Vrata#2000","comp#70","Vrata","1466 mm","497 mm","18 mm","2","2","2","vrataTraka#120","2 mm","0","null"
"+#Vrata#2000","comp#70","Vrata","196 mm","497 mm","18 mm","4","2","2","vrataTraka#120","2 mm","0","null"
"+#Vrata#2000","comp#70","Vrata","396 mm","357 mm","18 mm","1","2","2","vrataTraka#120","2 mm","0","null"
"+#Vrata#2000","comp#71","Vrata","496 mm","357 mm","18 mm","1","2","2","vrataTraka#120","2 mm","0","null"
"+#Vrata#2000","comp#71","Vrata","496 mm","497 mm","18 mm","2","2","2","vrataTraka#120","2 mm","0","null"
"+#Vrata#2000","comp#9","Viseci_vertikala","1870 mm","200 mm","18 mm","1","1","2","korpusTraka#80","1 mm","0","null"
"+#Vrata#2000","comp#9","Viseci_vertikala","1870 mm","530 mm","18 mm","1","1","2","korpusTraka#80","1 mm","0","null"
"+#Vrata#2000","comp#9","Viseci_vertikala","500 mm","200 mm","18 mm","1","1","2","korpusTraka#80","1 mm","0","null"
"+#Vrata#2000","comp#9","Viseci_vertikala","500 mm","530 mm","18 mm","1","1","2","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#12","Fioka_skrivena_pod","500 mm","426 mm","18 mm","4","0","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#13","Fioka_skriveni_stranica","500 mm","140 mm","18 mm","4","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#13","Fioka_skriveni_stranica_leva","500 mm","140 mm","18 mm","4","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#14","Donji_pod","426 mm","108 mm","18 mm","8","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#1","Donji_pod","342 mm","200 mm","18 mm","4","1","1","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#1","Donji_pod","982 mm","530 mm","18 mm","4","1","1","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#2","Donji_vertikala","1834 mm","200 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#2","Donji_vertikala","1834 mm","530 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#2","Donji_vertikala","223 mm","530 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#2","Donji_vertikala","364 mm","530 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#2","Donji_vertikala","464 mm","200 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#2","Donji_vertikala","464 mm","530 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#5","Polica","324 mm","200 mm","18 mm","1","1","0","korpusTraka#80","1 mm","0","null"
"-#Korpus#1500","comp#5","Polica","964 mm","530 mm","18 mm","2","1","0","korpusTraka#80","1 mm","0","null"
"-#Lesonit#1000","comp#3","Lesonit","1858 mm","348 mm","3 mm","1","0","0","null","0 mm","0","null"
"-#Lesonit#1000","comp#3","Lesonit","1858 mm","988 mm","3 mm","1","0","0","null","0 mm","0","null"
"-#Lesonit#1000","comp#3","Lesonit","488 mm","348 mm","3 mm","1","0","0","null","0 mm","0","null"
"-#Lesonit#1000","comp#3","Lesonit","488 mm","988 mm","3 mm","1","0","0","null","0 mm","0","null"
